,time,usuario,device,colocation,acc_x,acc_y,acc_z,la_x,la_y,la_z,Activity
3532,04-04-2022-21:20:46.448,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.631162,1.3599066,-7.896077,-0.50229645,-0.15286446,-0.39523745,Lying
3533,04-04-2022-21:20:46.458,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6407394,1.3742718,-7.967903,-0.49104357,-0.1376859,-0.46552992,Lying
3534,04-04-2022-21:20:46.468,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6646814,1.3838485,-7.991845,-0.4652691,-0.12730074,-0.48781204,Lying
3535,04-04-2022-21:20:46.479,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.412579,-7.9104424,-0.4108014,-0.097715974,-0.40477085,Lying
3536,04-04-2022-21:20:46.488,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.3455414,-7.8912888,-0.42384148,-0.16420877,-0.3844247,Lying
3537,04-04-2022-21:20:46.500,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.364695,-7.920019,-0.43256187,-0.1441704,-0.41227913,Lying
3538,04-04-2022-21:20:46.511,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.66947,1.3694834,-7.9583263,-0.45582056,-0.13835967,-0.44982338,Lying
3539,04-04-2022-21:20:46.518,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.2880806,-7.929596,-0.42600918,-0.21874034,-0.42000628,Lying
3540,04-04-2022-21:20:46.529,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.316811,-7.929596,-0.42933798,-0.18892312,-0.41859818,Lying
3541,04-04-2022-21:20:46.538,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6407394,1.3551182,-7.9726915,-0.48045492,-0.14968038,-0.46023893,Lying
3542,04-04-2022-21:20:46.548,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.3503298,-7.905654,-0.38320208,-0.1535207,-0.39180136,Lying
3543,04-04-2022-21:20:46.559,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.316811,-7.9248075,-0.38197708,-0.18610907,-0.40977144,Lying
3544,04-04-2022-21:20:46.568,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7125654,1.3359646,-7.920019,-0.4049225,-0.16609335,-0.4039998,Lying
3545,04-04-2022-21:20:46.578,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3215994,-7.9391727,-0.41823053,-0.17953241,-0.42210722,Lying
3546,04-04-2022-21:20:46.589,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.3455414,-7.943961,-0.41229105,-0.15457201,-0.42575645,Lying
3547,04-04-2022-21:20:46.598,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.2976574,-7.920019,-0.38231802,-0.20166469,-0.4006462,Lying
3548,04-04-2022-21:20:46.608,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3311762,-7.881712,-0.3857255,-0.16705275,-0.3609972,Lying
3549,04-04-2022-21:20:46.619,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.3599066,-7.9870567,-0.37475395,-0.13729763,-0.46500587,Lying
3550,04-04-2022-21:20:46.628,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3215994,-7.920019,-0.42123127,-0.17472816,-0.3966508,Lying
3551,04-04-2022-21:20:46.638,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6790466,1.3215994,-8.015787,-0.42940283,-0.17377281,-0.4910884,Lying
3552,04-04-2022-21:20:46.649,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3551182,-7.9104424,-0.40889645,-0.13943219,-0.3844819,Lying
3553,04-04-2022-21:20:46.659,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6646814,1.364695,-7.9391727,-0.4410491,-0.12910223,-0.4119544,Lying
3554,04-04-2022-21:20:46.669,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6215854,1.3359646,-7.9583263,-0.4828763,-0.1573385,-0.42998123,Lying
3555,04-04-2022-21:20:46.679,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3311762,-7.9343843,-0.4050908,-0.16132784,-0.40493155,Lying
3556,04-04-2022-21:20:46.689,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7748146,1.3934253,-7.9631147,-0.32723093,-0.09828532,-0.4324956,Lying
3557,04-04-2022-21:20:46.703,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.340753,-7.920019,-0.38343525,-0.15015125,-0.38822174,Lying
3558,04-04-2022-21:20:46.709,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.674258,1.283292,-7.9248075,-0.42546797,-0.20667636,-0.3919649,Lying
3559,04-04-2022-21:20:46.719,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.2976574,-7.9248075,-0.40541792,-0.19145381,-0.3910694,Lying
3560,04-04-2022-21:20:46.729,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.340753,-7.9391727,-0.39981222,-0.14774752,-0.40465212,Lying
3561,04-04-2022-21:20:46.739,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3455414,-7.9152308,-0.39875793,-0.14243054,-0.37975264,Lying
3562,04-04-2022-21:20:46.749,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3982137,-7.9248075,-0.3975768,-0.08894479,-0.38821363,Lying
3563,04-04-2022-21:20:46.759,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.659893,1.3551182,-7.929596,-0.43472147,-0.13116384,-0.39188957,Lying
3564,04-04-2022-21:20:46.769,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3934253,-7.9966335,-0.40489483,-0.09213209,-0.4578967,Lying
3565,04-04-2022-21:20:46.779,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7748146,1.3694834,-7.905654,-0.31764364,-0.115382314,-0.3659253,Lying
3566,04-04-2022-21:20:46.789,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.66947,1.3455414,-7.929596,-0.42177105,-0.13855577,-0.38873148,Lying
3567,04-04-2022-21:20:46.799,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7508726,1.3503298,-7.953538,-0.3392191,-0.1329062,-0.41157627,Lying
3568,04-04-2022-21:20:46.809,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.707777,1.3024458,-7.920019,-0.3810401,-0.17988062,-0.37684917,Lying
3569,04-04-2022-21:20:46.819,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3551182,-7.9343843,-0.38934517,-0.12630117,-0.39001036,Lying
3570,04-04-2022-21:20:46.829,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3215994,-7.8865004,-0.3879819,-0.15898085,-0.34086227,Lying
3571,04-04-2022-21:20:46.839,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.722142,1.3263878,-7.97748,-0.36280918,-0.1534046,-0.43069506,Lying
3572,04-04-2022-21:20:46.849,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.2880806,-7.920019,-0.39519644,-0.19085932,-0.3721547,Lying
